action,course,city,id,verified,tee,our_rating,our_slope,oga_rating,oga_slope,delta,tees_conflicting,why
3-VERIFY-RATING,Omni Barton Creek Resort Crenshaw Cliffside Course,Austin,omni-barton-creek-resort-crenshaw-cliffside-cour,Y,White,66.9,119,67.7,124,R-0.8 S-5,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Phillips Municipal Course,Borger,phillips-municipal-course,Y,Blue,69.5,103,70.1,118,R-0.6 S-15,3,3 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Phillips Municipal Course,Borger,phillips-municipal-course,Y,Red,67.4,102,68.6,114,R-1.2 S-12,3,3 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Phillips Municipal Course,Borger,phillips-municipal-course,Y,Yellow,63,90,64.9,105,R-1.9 S-15,3,3 tees all off the same direction (~1.2) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Quicksand Golf Course,San Angelo,quicksand-golf-course,Y,Black,75.5,142,75,140,R+0.5 S+2,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Quicksand Golf Course,San Angelo,quicksand-golf-course,Y,Blue,70.8,134,70.1,124,R+0.7 S+10,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Quicksand Golf Course,San Angelo,quicksand-golf-course,Y,Gold,73.3,138,72.3,131,R+1.0 S+7,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Tascosa Golf Club - La Paloma,TX,tascosa-golf-club-la-paloma,Y,Black,74.7,137,73.5,130,R+1.2 S+7,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Tascosa Golf Club - La Paloma,TX,tascosa-golf-club-la-paloma,Y,Blue,72,131,71.3,128,R+0.7 S+3,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Tascosa Golf Club - La Paloma,TX,tascosa-golf-club-la-paloma,Y,White,69.4,126,68.8,119,R+0.6 S+7,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Tascosa Golf Club - La Paloma Course,Amarillo,tascosa-golf-club-la-paloma-course,Y,Black,74.7,137,73.5,130,R+1.2 S+7,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Tascosa Golf Club - La Paloma Course,Amarillo,tascosa-golf-club-la-paloma-course,Y,Blue,72,131,71.3,128,R+0.7 S+3,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,Tascosa Golf Club - La Paloma Course,Amarillo,tascosa-golf-club-la-paloma-course,Y,White,69.4,126,68.8,119,R+0.6 S+7,3,3 tees all off the same direction (~0.7) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Champions Course at Weeks Park,Wichita Falls,the-champions-course-at-weeks-park,Y,Black,75.8,134,75.2,133,R+0.6 S+1,3,3 tees all off the same direction (~0.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Champions Course at Weeks Park,Wichita Falls,the-champions-course-at-weeks-park,Y,Blue,70.9,127,70.3,124,R+0.6 S+3,3,3 tees all off the same direction (~0.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Champions Course at Weeks Park,Wichita Falls,the-champions-course-at-weeks-park,Y,Gold,73.5,130,73,129,R+0.5 S+1,3,3 tees all off the same direction (~0.6) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,I,73.5,135,74.6,138,R-1.1 S-3,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,I/II,72.8,133,73.9,136,R-1.1 S-3,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,II,71.9,132,73,134,R-1.1 S-2,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,II/III,70.7,131,71.6,130,R-0.9 S+1,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,III,69.6,130,70.7,128,R-1.1 S+2,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,III/IV,68.3,129,69.4,126,R-1.1 S+3,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,IV,67.6,126,68.5,125,R-0.9 S+1,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,IV/V,66.6,124,67.1,123,R-0.5 S+1,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
3-VERIFY-RATING,The Northwood Club,Dallas,the-northwood-club,Y,V,64.7,120,65.5,120,R-0.8 S+0,9,9 tees all off the same direction (~1.1) -> our set looks like an older USGA rating; OGA is likely current. Check the printed card.
4-IGNORE,Andrews County Golf Course,Andrews,andrews-county-golf-course,Y,Blue,70.3,119,68.7,117,R+1.6 S+2,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Augusta Pines Golf Course,Spring,augusta-pines-golf-course,Y,Professional,74.2,132,73.6,125,R+0.6 S+7,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Avery Ranch Golf Club,TX,avery-ranch-golf-club,Y,Green,65.4,118,69.8,125,R-4.4 S-7,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Bentwater,Montgomery,bentwater,n,Blue,73.4,140,71.7,131,R+1.7 S+9,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Bentwater,Montgomery,bentwater,n,White,71.2,130,70,122,R+1.2 S+8,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Brentwood Country Club,Beaumont,brentwood-country-club,n,Blue,69.6,120,71,123,R-1.4 S-3,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Brentwood Country Club,Beaumont,brentwood-country-club,n,Gold,70.1,118,72.1,125,R-2.0 S-7,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Casa Balnca Golf Course,Laredo,casa-balnca-golf-course,n,Blue,71.4,125,72.5,125,R-1.1 S+0,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cedar Creek Golf Course,San Antonio,cedar-creek-golf-course,Y,Blue,74.5,136,73.4,132,R+1.1 S+4,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Clarendon Country Club,Howardwick,clarendon-country-club,n,Blue,69.9,112,68.1,108,R+1.8 S+4,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Clarendon Country Club,Howardwick,clarendon-country-club,n,White,69.1,111,69.8,111,R-0.7 S+0,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cleburne Golf Links,TX,cleburne-golf-links,Y,Black,73.7,128,73.9,140,R-0.2 S-12,3,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cleburne Golf Links,TX,cleburne-golf-links,Y,Blue,71.8,124,71.5,133,R+0.3 S-9,3,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cleburne Golf Links,TX,cleburne-golf-links,Y,White,69.5,117,68,118,R+1.5 S-1,3,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Corsicana Country Club,TX,corsicana-country-club,Y,Blue,72.8,136,70.1,119,R+2.7 S+17,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Corsicana Country Club,TX,corsicana-country-club,Y,White,71.1,135,66.2,111,R+4.9 S+24,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cottonwood Creek Golf Course,Waco,cottonwood-creek-golf-course,Y,Black,69.2,125,68.3,119,R+0.9 S+6,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cottonwood Creek Golf Course,Waco,cottonwood-creek-golf-course,Y,Blue,72.5,131,71.7,123,R+0.8 S+8,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cottonwood Creek Golf Course,Waco,cottonwood-creek-golf-course,Y,Gold,74.1,135,74.2,125,R-0.1 S+10,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Cottonwood Creek Golf Course,Waco,cottonwood-creek-golf-course,Y,White,71,129,70,121,R+1.0 S+8,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Crossing Creeks Country Club,Longview,crossing-creeks-country-club,n,Gold,72.9,133,69.2,119,R+3.7 S+14,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Dallas Athletic Club (Gold),Dallas,dallas-athletic-club-2,n,Blue,73.4,138,71.5,134,R+1.9 S+4,3,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Dallas Athletic Club (Gold),Dallas,dallas-athletic-club-2,n,Red,65,115,65.8,117,R-0.8 S-2,3,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Dallas Athletic Club (Gold),Dallas,dallas-athletic-club-2,n,White,71.3,135,68.7,128,R+2.6 S+7,3,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Desert Pines Golf Course,Fort Stockton,desert-pines-golf-course,Y,Blue,72,126,70.8,114,R+1.2 S+12,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Eldorado Country Club,McKinney,eldorado-country-club,Y,Black,73.5,137,74.4,141,R-0.9 S-4,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Eldorado Country Club,McKinney,eldorado-country-club,Y,White,70.3,128,73.9,137,R-3.6 S-9,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Forest Creek Golf Club,TX,forest-creek-golf-club,Y,Gold,74.8,139,73.8,136,R+1.0 S+3,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Greatwood Golf Club,Sugar Land,greatwood-golf-club,Y,Blue,72,140,70.4,136,R+1.6 S+4,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Greatwood Golf Club,Sugar Land,greatwood-golf-club,Y,White,70.3,136,68.8,132,R+1.5 S+4,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Heron Lakes Golf Course,TX,heron-lakes-golf-course,n,Blue,67.1,109,69,113,R-1.9 S-4,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Hidden Creek Golf Course,Burleson,hidden-creek-golf-course,Y,Black,75,133,74.2,130,R+0.8 S+3,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Hidden Creek Golf Course,Burleson,hidden-creek-golf-course,Y,Blue,73,132,72.2,123,R+0.8 S+9,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Hidden Creek Golf Course,Burleson,hidden-creek-golf-course,Y,Red,66.7,115,71.2,124,R-4.5 S-9,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Hidden Creek Golf Course,Burleson,hidden-creek-golf-course,Y,White,70.1,128,69.3,114,R+0.8 S+14,4,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Hyatt Hill Country Golf Club,TX,hyatt-hill-country-golf-club,Y,Black,72.1,131,73.9,136,R-1.8 S-5,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Jacksboro Country Club,Jacksboro,jacksboro-country-club-2,n,Blue,68.7,117,71,112,R-2.3 S+5,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Jacksboro Country Club,Jacksboro,jacksboro-country-club-2,n,White,67.2,113,69.3,111,R-2.1 S+2,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,John Pitman Golf Club,TX,john-pitman-golf-club,Y,Red,72.8,131,71.9,124,R+0.9 S+7,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Junction Golf Club,Junction,junction-golf-club,n,Blue,67.8,118,68.6,120,R-0.8 S-2,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,Junction Golf Club,Junction,junction-golf-club,n,White,65,115,68.2,116,R-3.2 S-1,2,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
4-IGNORE,King's Creek Country Club,Kemp,king-s-creek-country-club,Y,Blue,70.5,125,72,124,R-1.5 S+1,1,"Tee-name mismatch / OGA duplicate / minor re-rating (<1.5, few slope pts). Immaterial to scoring; no action needed."
